1622	1622.trycycler.fasta
DAR26868	DAR26868_scaffolds.filter.fasta
DAR26869	DAR26869_scaffolds.filter.fasta
DAR26871	DAR26871_scaffolds.filter.fasta
DAR26873	DAR26873_scaffolds.filter.fasta
DAR26874	DAR26874_scaffolds.filter.fasta
DAR26875	DAR26875_scaffolds.filter.fasta
DAR26876	DAR26876_scaffolds.filter.fasta
DAR26878	DAR26878_scaffolds.filter.fasta
DAR26880	DAR26880_scaffolds.filter.fasta
DAR26881	DAR26881_scaffolds.filter.fasta
DAR26882	DAR26882_scaffolds.filter.fasta
DAR26883	DAR26883_scaffolds.filter.fasta
DAR26884	DAR26884_scaffolds.filter.fasta
DAR26885	DAR26885_scaffolds.filter.fasta
DAR26886	DAR26886_scaffolds.filter.fasta
DAR26887	DAR26887_scaffolds.filter.fasta
DAR26888	DAR26888_scaffolds.filter.fasta
DAR26901	DAR26901_scaffolds.filter.fasta
DAR26902	DAR26902.trycycler.fasta
DAR26903	DAR26903.trycycler.fasta
DAR26905	DAR26905.trycycler.fasta
DAR26906	DAR26906_scaffolds.filter.fasta
DAR26907	DAR26907_scaffolds.filter.fasta
DAR26910	DAR26910_scaffolds.filter.fasta
DAR26911	DAR26911_scaffolds.filter.fasta
DAR26912	DAR26912_scaffolds.filter.fasta
DAR26926	DAR26926.trycycler.fasta
DAR26929	DAR26929_scaffolds.filter.fasta
DAR26938	DAR26938_scaffolds.filter.fasta
DAR26939	DAR26939_scaffolds.filter.fasta
DAR26944	DAR26944_scaffolds.filter.fasta
DAR26945	DAR26945_scaffolds.filter.fasta
DAR26946	DAR26946_scaffolds.filter.fasta
DAR26947	DAR26947_scaffolds.filter.fasta
DAR26948	DAR26948_scaffolds.filter.fasta
DAR29063	DAR29063_scaffolds.filter.fasta
DAR30518	DAR30518_scaffolds.filter.fasta
DAR30519	DAR30519_scaffolds.filter.fasta
DAR30520	DAR30520_scaffolds.filter.fasta
DAR30521	DAR30521_scaffolds.filter.fasta
DAR30540	DAR30540_scaffolds.filter.fasta
DAR30541	DAR30541_scaffolds.filter.fasta
DAR30543	DAR30543_scaffolds.filter.fasta
DAR30544	DAR30544_scaffolds.filter.fasta
DAR33341	DAR33341_scaffolds.filter.fasta
DAR33352	DAR33352_scaffolds.filter.fasta
DAR33380	DAR33380_scaffolds.filter.fasta
DAR33381	DAR33381_scaffolds.filter.fasta
DAR33382	DAR33382_scaffolds.filter.fasta
DAR33383	DAR33383_scaffolds.filter.fasta
DAR33384	DAR33384_scaffolds.filter.fasta
DAR33385	DAR33385_scaffolds.filter.fasta
DAR33386	DAR33386_scaffolds.filter.fasta
DAR33387	DAR33387_scaffolds.filter.fasta
DAR33388	DAR33388_scaffolds.filter.fasta
DAR33392	DAR33392_scaffolds.filter.fasta
DAR33393	DAR33393_scaffolds.filter.fasta
DAR33394	DAR33394_scaffolds.filter.fasta
DAR33395	DAR33395_scaffolds.filter.fasta
DAR33421	DAR33421_scaffolds.filter.fasta
DAR34856	DAR34856.trycycler.fasta
DAR34864	DAR34864_scaffolds.filter.fasta
DAR34865	DAR34865_scaffolds.filter.fasta
DAR34866	DAR34866_scaffolds.filter.fasta
DAR34868	DAR34868.trycycler.fasta
DAR34869	DAR34869_scaffolds.filter.fasta
DAR34870	DAR34870_scaffolds.filter.fasta
DAR34871	DAR34871_scaffolds.filter.fasta
DAR34890	DAR34890.trycycler.fasta
DAR34892	DAR34892_scaffolds.filter.fasta
DAR35718	DAR35718_scaffolds.filter.fasta
DAR49310	DAR49310_scaffolds.filter.fasta
DAR58707	DAR58707_scaffolds.filter.fasta
DAR58726	DAR58726_scaffolds.filter.fasta
DAR63291	DAR63291_scaffolds.filter.fasta
DAR65863	DAR65863.trycycler.fasta
DAR65869	DAR65869.trycycler.fasta
DAR65944	DAR65944_scaffolds.filter.fasta
DAR65945	DAR65945_scaffolds.filter.fasta
DAR73871	DAR73871.trycycler.fasta
DAR73872	DAR73872.trycycler.fasta
DAR73910	DAR73910.trycycler.fasta
DAR75280	DAR75280_scaffolds.filter.fasta
DAR76571	DAR76571_scaffolds.filter.fasta
DAR76573	DAR76573.trycycler.fasta
